id,name
chemise,Chemise
jean,Jean
jupe,Jupe/Robe
manteau,Manteau/Veste
pantalon,Pantalon/Short
pull,Pull
tshirt,T-shirt/Polo
chaussettes,Chaussettes
calecon,Caleçon(tissé)
slip,Boxer/Slip(tricoté)
maillot-de-bain,Maillot-de-bain
