product,mass_kg,material_id,material_share,countryMaking,impact_ecs
calecon,0.02,ei-pp,1,RLA,190.8524064730396
calecon,0.02,ei-pet,1,RLA,196.57960654201
calecon,0.02,ei-pet-r,1,RLA,193.44295113510745
calecon,0.02,ei-viscose,1,RLA,210.38166751751004
calecon,0.02,coton-rdpc,1,RNA,201.5600287743286
calecon,0.02,coton-rdp,1,RNA,200.26241649554044
calecon,0.02,ei-chanvre,1,RNA,207.87355512620127
calecon,0.02,ei-coton,1,RNA,282.4900836346114
calecon,0.02,ei-coton-organic,1,RNA,223.7522809012125
calecon,0.02,elasthane,1,RNA,234.0614017041293
calecon,0.02,ei-acrylique,1,RNA,209.41878678910405
calecon,0.02,ei-jute-kenaf,1,RNA,238.1909157048723
calecon,0.02,ei-laine-par-defaut,1,RNA,410.4351728628982
calecon,0.02,ei-laine-nouvelle-filiere,1,RNA,220.01415601263665
calecon,0.02,ei-lin,1,RNA,198.22925431208128
calecon,0.02,ei-pa,1,RNA,207.5006068431069
calecon,0.02,ei-pp,1,RNA,193.3628621251508
calecon,0.02,ei-pet,1,RNA,199.0900621941212
calecon,0.02,ei-pet-r,1,RNA,195.95340678721865
calecon,0.02,ei-viscose,1,RNA,212.89212316962124
calecon,0.02,coton-rdpc,1,ROC,241.34095805726804
calecon,0.02,coton-rdp,1,ROC,240.04334577847987
calecon,0.02,ei-chanvre,1,ROC,247.6544844091407
calecon,0.02,ei-coton,1,ROC,322.2710129175509
calecon,0.02,ei-coton-organic,1,ROC,263.5332101841519
calecon,0.02,elasthane,1,ROC,273.84233098706875
calecon,0.02,ei-acrylique,1,ROC,249.19971607204343
calecon,0.02,ei-jute-kenaf,1,ROC,277.9718449878117
calecon,0.02,ei-laine-par-defaut,1,ROC,450.2161021458376
calecon,0.02,ei-laine-nouvelle-filiere,1,ROC,259.7950852955761
calecon,0.02,ei-lin,1,ROC,238.01018359502075
calecon,0.02,ei-pa,1,ROC,247.28153612604635
calecon,0.02,ei-pp,1,ROC,233.1437914080902
calecon,0.02,ei-pet,1,ROC,238.87099147706056
calecon,0.02,ei-pet-r,1,ROC,235.734336070158
calecon,0.02,ei-viscose,1,ROC,252.67305245256068
calecon,0.02,coton-rdpc,1,MM,195.71196072249157
calecon,0.02,coton-rdp,1,MM,194.41434844370335
calecon,0.02,ei-chanvre,1,MM,202.0254870743642
calecon,0.02,ei-coton,1,MM,276.6420155827743
calecon,0.02,ei-coton-organic,1,MM,217.9042128493754
calecon,0.02,elasthane,1,MM,228.21333365229225
calecon,0.02,ei-acrylique,1,MM,203.570718737267
calecon,0.02,ei-jute-kenaf,1,MM,232.3428476530352
calecon,0.02,ei-laine-par-defaut,1,MM,404.5871048110611
calecon,0.02,ei-laine-nouvelle-filiere,1,MM,214.1660879607996
calecon,0.02,ei-lin,1,MM,192.38118626024425
calecon,0.02,ei-pa,1,MM,201.65253879126985
calecon,0.02,ei-pp,1,MM,187.5147940733137
calecon,0.02,ei-pet,1,MM,193.2419941422841
calecon,0.02,ei-pet-r,1,MM,190.10533873538157
calecon,0.02,ei-viscose,1,MM,207.04405511778415
calecon,0.02,coton-rdpc,1,BD,211.0223223944165
calecon,0.02,coton-rdp,1,BD,209.7247101156283
calecon,0.02,ei-chanvre,1,BD,217.3358487462892
calecon,0.02,ei-coton,1,BD,291.95237725469934
calecon,0.02,ei-coton-organic,1,BD,233.2145745213004
calecon,0.02,elasthane,1,BD,243.5236953242172
calecon,0.02,ei-acrylique,1,BD,218.88108040919195
calecon,0.02,ei-jute-kenaf,1,BD,247.65320932496024
calecon,0.02,ei-laine-par-defaut,1,BD,419.89746648298615
calecon,0.02,ei-laine-nouvelle-filiere,1,BD,229.47644963272447
calecon,0.02,ei-lin,1,BD,207.6915479321692
calecon,0.02,ei-pa,1,BD,216.9629004631948
calecon,0.02,ei-pp,1,BD,202.82515574523867
calecon,0.02,ei-pet,1,BD,208.5523558142091
calecon,0.02,ei-pet-r,1,BD,205.4157004073065
calecon,0.02,ei-viscose,1,BD,222.35441678970915
calecon,0.02,coton-rdpc,1,CN,224.85369038542697
calecon,0.02,coton-rdp,1,CN,223.5560781066388
calecon,0.02,ei-chanvre,1,CN,231.16721673729964
calecon,0.02,ei-coton,1,CN,305.7837452457098
calecon,0.02,ei-coton-organic,1,CN,247.0459425123109
calecon,0.02,elasthane,1,CN,257.35506331522765
calecon,0.02,ei-acrylique,1,CN,232.71244840020245
calecon,0.02,ei-jute-kenaf,1,CN,261.48457731597074
calecon,0.02,ei-laine-par-defaut,1,CN,433.7288344739966
calecon,0.02,ei-laine-nouvelle-filiere,1,CN,243.30781762373505
calecon,0.02,ei-lin,1,CN,221.52291592317968
calecon,0.02,ei-pa,1,CN,230.7942684542053
calecon,0.02,ei-pp,1,CN,216.65652373624917
calecon,0.02,ei-pet,1,CN,222.3837238052196
calecon,0.02,ei-pet-r,1,CN,219.247068398317
calecon,0.02,ei-viscose,1,CN,236.18578478071964
calecon,0.02,coton-rdpc,1,FR,180.31197100805187
calecon,0.02,coton-rdp,1,FR,179.0143587292637
calecon,0.02,ei-chanvre,1,FR,186.6254973599245
calecon,0.02,ei-coton,1,FR,261.24202586833474
calecon,0.02,ei-coton-organic,1,FR,202.50422313493573
calecon,0.02,elasthane,1,FR,212.81334393785255
calecon,0.02,ei-acrylique,1,FR,188.1707290228273
calecon,0.02,ei-jute-kenaf,1,FR,216.9428579385956
calecon,0.02,ei-laine-par-defaut,1,FR,389.1871150966215
calecon,0.02,ei-laine-nouvelle-filiere,1,FR,198.76609824635992
calecon,0.02,ei-lin,1,FR,176.98119654580455
calecon,0.02,ei-pa,1,FR,186.2525490768302
calecon,0.02,ei-pp,1,FR,172.11480435887407
calecon,0.02,ei-pet,1,FR,177.84200442784447
calecon,0.02,ei-pet-r,1,FR,174.7053490209419
calecon,0.02,ei-viscose,1,FR,191.64406540334448
calecon,0.02,coton-rdpc,1,IN,235.26102570352236
calecon,0.02,coton-rdp,1,IN,233.9634134247341
calecon,0.02,ei-chanvre,1,IN,241.57455205539503
calecon,0.02,ei-coton,1,IN,316.1910805638052
calecon,0.02,ei-coton-organic,1,IN,257.45327783040614
calecon,0.02,elasthane,1,IN,267.762398633323
calecon,0.02,ei-acrylique,1,IN,243.11978371829775
calecon,0.02,ei-jute-kenaf,1,IN,271.891912634066
calecon,0.02,ei-laine-par-defaut,1,IN,444.1361697920919
calecon,0.02,ei-laine-nouvelle-filiere,1,IN,253.7151529418304
calecon,0.02,ei-lin,1,IN,231.93025124127504
calecon,0.02,ei-pa,1,IN,241.20160377230064
calecon,0.02,ei-pp,1,IN,227.0638590543445
calecon,0.02,ei-pet,1,IN,232.7910591233149
calecon,0.02,ei-pet-r,1,IN,229.6544037164124
calecon,0.02,ei-viscose,1,IN,246.59312009881492
calecon,0.02,coton-rdpc,1,KH,211.52553401885265
calecon,0.02,coton-rdp,1,KH,210.2279217400645
calecon,0.02,ei-chanvre,1,KH,217.8390603707253
calecon,0.02,ei-coton,1,KH,292.4555888791354
calecon,0.02,ei-coton-organic,1,KH,233.7177861457365
calecon,0.02,elasthane,1,KH,244.02690694865333
calecon,0.02,ei-acrylique,1,KH,219.3842920336281
calecon,0.02,ei-jute-kenaf,1,KH,248.1564209493964
calecon,0.02,ei-laine-par-defaut,1,KH,420.4006781074223
calecon,0.02,ei-laine-nouvelle-filiere,1,KH,229.97966125716067
calecon,0.02,ei-lin,1,KH,208.19475955660533
calecon,0.02,ei-pa,1,KH,217.466112087631
calecon,0.02,ei-pp,1,KH,203.32836736967485
calecon,0.02,ei-pet,1,KH,209.05556743864528
