product,mass_kg,material_id,countryMaking,impact_ecs
chemise,0.4853388164684336,ei-pp,RAS,3646.171236198698
manteau,2.35,ei-viscose,CN,18787.797668378968
slip,0.02,ei-jute-kenaf,MM,216.00754206066048
pantalon,1.41,ei-chanvre,REO,10848.936736430644
calecon,0.16,ei-lin,REO,1340.9533082650337
slip,0.09,ei-viscose,KH,845.1238211448956
chemise,0.2643631472449587,ei-pp,MM,1995.5499610227348
jean,0.7173660998971096,ei-coton,VN,8948.373984068205
calecon,0.13,ei-chanvre,TR,1155.700463809739
jupe,0.38,ei-viscose,IN,3157.8524152544765
calecon,0.15,coton-rdpc,VN,1409.6803310978307
pull,1.13,ei-coton-organic,BD,9489.353156618074
calecon,0.17,ei-jute-kenaf,TR,1750.2595572161488
slip,0.04,ei-viscose,CN,395.0677494435033
manteau,0.95,elasthane,MA,8228.07533948607
tshirt,0.25,ei-pa,REE,1953.194818339032
chemise,0.1035861164954998,ei-coton-organic,RNA,960.468101849691
jean,0.5573533154134576,ei-pet,BD,4711.189580789014
pull,0.17,coton-rdpc,RME,1200.394465696604
maillot-de-bain,0.16,ei-acrylique,IN,1210.1685945687314
pull,0.35,coton-rdpc,REO,2352.5010970782632
pantalon,1.46,ei-pa,RAF,11866.584505126386
slip,0.13,elasthane,FR,1209.1322209068974
chemise,0.2935094037705194,ei-jute-kenaf,RNA,2837.0864772376444
calecon,0.12,coton-rdp,FR,1009.9414604863364
slip,0.04,ei-lin,IN,382.79329211855503
slip,0.03,ei-pa,CN,299.71782704569324
slip,0.01,ei-viscose,TN,103.74958586595196
calecon,0.03,ei-chanvre,VN,314.3089725653758
manteau,3.28,coton-rdpc,TN,22671.126447695657
chemise,0.4407743509687833,ei-pet,---,3423.8231224049564
chemise,0.2065788451001932,ei-pet,VN,1658.9861332376545
jean,0.9266427188460036,ei-coton,RAF,11194.755540660395
manteau,3.97,ei-acrylique,MA,28864.56236835078
pantalon,0.35,ei-pa,TN,2783.7277390606605
manteau,2.66,ei-pa,TN,19186.51145769519
manteau,3.57,ei-viscose,RAS,28454.089965225743
