product,mass_kg,material_id,material_share,countryMaking,impact_ecs
calecon,0.18,ei-pet,1,---,1661.653764581232
calecon,0.09,ei-pet,1,---,861.0473509320065
calecon,0.07,ei-pet,1,---,683.1202555162131
calecon,0.08,ei-pet,1,---,772.1056417980578
calecon,0.07,ei-pet,1,---,683.1202555162131
calecon,0.1,ei-pet,1,---,950.0327372138512
calecon,0.16,ei-pet,1,---,1483.770346313335
calecon,0.11,ei-pet,1,---,1038.9744463477998
calecon,0.08,ei-pet,1,---,772.1056417980578
calecon,0.03,ei-pet-r,1,---,322.315890568282
calecon,0.04,ei-pet-r,1,---,409.5929826141504
calecon,0.2,ei-pet-r,1,---,1806.2885182354216
calecon,0.08,ei-pet-r,1,---,758.7887050934161
calecon,0.12,ei-pet-r,1,---,1107.9407504247858
calecon,0.09,ei-pet-r,1,---,846.0657971392845
calecon,0.07,ei-pet-r,1,---,671.4679358996517
calecon,0.17,ei-pet-r,1,---,1544.41356494992
calecon,0.17,ei-pet-r,1,---,1544.41356494992
calecon,0.18,ei-pet-r,1,---,1631.6906569957885
calecon,0.17,ei-viscose,1,---,1683.9109996031293
calecon,0.2,ei-viscose,1,---,1970.403147239197
calecon,0.18,ei-viscose,1,---,1779.3938230991866
calecon,0.12,ei-viscose,1,---,1206.4095278270513
calecon,0.07,ei-viscose,1,---,728.9080560509732
calecon,0.06,ei-viscose,1,---,633.425232554916
calecon,0.05,ei-viscose,1,---,537.9424090588589
calecon,0.07,ei-viscose,1,---,728.9080560509732
calecon,0.1,ei-viscose,1,---,1015.443880834937
calecon,0.1,ei-viscose,1,---,1015.443880834937
calecon,0.2,coton-rdpc,1,REO,1693.9964898125393
calecon,0.19,coton-rdpc,1,REO,1610.3437958895026
calecon,0.15,coton-rdpc,1,REO,1275.645665901564
calecon,0.18,coton-rdpc,1,REO,1526.6474248185698
calecon,0.15,coton-rdpc,1,REO,1275.645665901564
calecon,0.07,coton-rdpc,1,REO,606.2930830735837
calecon,0.03,coton-rdpc,1,REO,271.6386302335416
calecon,0.14,coton-rdpc,1,REO,1191.9929719785275
calecon,0.18,coton-rdpc,1,REO,1526.6474248185698
calecon,0.18,coton-rdpc,1,REO,1526.6474248185698
calecon,0.05,coton-rdp,1,REO,435.7436645305402
calecon,0.08,coton-rdp,1,REO,684.7990050293636
calecon,0.1,coton-rdp,1,REO,850.8504577445445
calecon,0.19,coton-rdp,1,REO,1598.016479241015
calecon,0.09,coton-rdp,1,REO,767.802892813006
calecon,0.16,coton-rdp,1,REO,1348.9611387421917
calecon,0.14,coton-rdp,1,REO,1182.9096860270104
calecon,0.16,coton-rdp,1,REO,1348.9611387421917
calecon,0.06,coton-rdp,1,REO,518.7475523141827
calecon,0.14,coton-rdp,1,REO,1182.9096860270104
calecon,0.19,ei-chanvre,1,REO,1667.2479244277206
calecon,0.14,ei-chanvre,1,REO,1233.9223298487934
calecon,0.2,ei-chanvre,1,REO,1753.895572484347
calecon,0.08,ei-chanvre,1,REO,713.9490872132394
calecon,0.14,ei-chanvre,1,REO,1233.9223298487934
calecon,0.08,ei-chanvre,1,REO,713.9490872132394
calecon,0.11,ei-chanvre,1,REO,973.9357085310164
